Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season
Andrew Wiggins,21,MIN,SF,82,82,3048,16.5,.534,.184,.345,3.8,8.8,6.3,10.6,1.4,0.8,9.4,29.0,3.3,0.9,4.2,.066,0.7,-2.4,-1.7,0.2,,37.2,8.6,19.1,.452,1.3,3.5,.356,7.4,15.6,.473,.484,5.0,6.6,.760,1.2,2.8,4.0,2.3,1.0,0.4,2.3,2.2,23.6,2017
Karl-Anthony Towns,21,MIN,C,82,82,3030,25.9,.618,.186,.289,11.2,27.8,19.4,13.2,0.9,2.9,11.3,27.5,9.9,2.8,12.7,.201,5.5,-0.7,4.7,5.2,,37.0,9.8,18.0,.542,1.2,3.4,.367,8.5,14.7,.582,.576,4.3,5.2,.832,3.6,8.7,12.3,2.7,0.7,1.3,2.6,2.9,25.1,2017
James Harden,27,HOU,PG,81,81,2947,27.4,.613,.493,.575,3.5,20.9,12.2,50.7,2.0,1.0,19.5,34.2,11.5,3.6,15.0,.245,7.5,1.2,8.7,8.0,"MVP-2,AS,NBA1",36.4,8.3,18.9,.440,3.2,9.3,.347,5.1,9.6,.530,.525,9.2,10.9,.847,1.2,7.0,8.1,11.2,1.5,0.5,5.7,2.7,29.1,2017
Giannis Antetokounmpo,22,MIL,SF,80,80,2845,26.1,.599,.143,.486,5.9,22.6,14.3,26.6,2.3,4.7,13.3,28.3,7.9,4.5,12.4,.210,4.9,2.4,7.3,6.7,"MVP-7,MIP-1,AS,NBA2,DEF2",35.6,8.2,15.7,.521,0.6,2.3,.272,7.6,13.5,.563,.541,5.9,7.7,.770,1.8,7.0,8.8,5.4,1.6,1.9,2.9,3.1,22.9,2017
John Wall,26,WAS,PG,78,78,2836,23.2,.541,.190,.367,2.4,10.6,6.5,46.9,2.7,1.4,16.2,30.6,5.8,3.0,8.8,.149,4.6,0.1,4.7,4.8,"MVP-7,AS,NBA3",36.4,8.3,18.4,.451,1.1,3.5,.327,7.2,14.9,.480,.482,5.4,6.8,.801,0.8,3.4,4.2,10.7,2.0,0.6,4.1,1.9,23.1,2017
Jimmy Butler,27,CHI,SF,76,75,2809,25.1,.586,.198,.540,4.9,13.2,9.0,24.8,2.6,0.9,9.3,26.5,10.1,3.8,13.8,.236,5.6,1.7,7.3,6.6,"AS,NBA3",37.0,7.5,16.5,.455,1.2,3.3,.367,6.3,13.2,.477,.492,7.7,8.9,.865,1.7,4.5,6.2,5.5,1.9,0.4,2.1,1.5,23.9,2017
Harrison Barnes,24,DAL,PF,79,79,2803,16.3,.541,.173,.220,3.7,13.1,8.2,7.7,1.2,0.5,6.8,25.3,2.5,2.1,4.6,.078,0.4,-1.2,-0.8,0.8,,35.5,7.6,16.2,.468,1.0,2.8,.351,6.6,13.4,.492,.498,3.1,3.6,.861,1.2,3.8,5.0,1.5,0.8,0.2,1.3,1.6,19.2,2017
Russell Westbrook,28,OKC,PG,81,81,2802,30.6,.554,.300,.433,5.4,28.8,17.1,57.3,2.3,0.9,15.9,41.7,8.5,4.6,13.1,.224,8.7,2.4,11.1,9.3,"MVP-1,AS,NBA1",34.6,10.2,24.0,.425,2.5,7.2,.343,7.7,16.8,.459,.476,8.8,10.4,.845,1.7,9.0,10.7,10.4,1.6,0.4,5.4,2.3,31.6,2017
CJ McCollum,25,POR,SG,80,80,2796,19.9,.585,.305,.204,2.4,9.1,5.7,18.0,1.3,1.2,9.9,27.5,6.2,1.4,7.6,.131,3.4,-1.4,2.0,2.8,,35.0,8.7,18.0,.480,2.3,5.5,.421,6.3,12.5,.506,.544,3.4,3.7,.912,0.8,2.9,3.6,3.6,0.9,0.5,2.2,2.5,23.0,2017
LeBron James,32,CLE,SF,74,74,2794,27.0,.619,.254,.395,4.0,20.7,12.6,41.3,1.6,1.3,16.1,30.0,9.8,3.0,12.9,.221,6.4,1.2,7.6,6.7,"MVP-4,DPOY-5,AS,NBA1",37.8,9.9,18.2,.548,1.7,4.6,.363,8.3,13.5,.611,.594,4.8,7.2,.674,1.3,7.3,8.6,8.7,1.2,0.6,4.1,1.8,26.4,2017
