Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season
Gilbert Arenas,24,WAS,PG,80,80,3384,23.8,.581,.324,.479,2.0,7.8,4.8,27.0,2.5,0.6,12.8,30.5,11.0,2.6,13.6,.193,5.4,0.0,5.4,6.3,"AS,NBA3",42.3,9.3,20.9,.447,2.5,6.8,.369,6.8,14.1,.485,.507,8.2,10.0,.820,0.7,2.8,3.5,6.1,2.0,0.3,3.7,3.6,29.3,2006
LeBron James,21,CLE,SF,79,79,3361,28.1,.568,.208,.447,2.6,17.1,9.8,32.8,2.0,1.5,10.7,33.6,12.0,4.3,16.3,.232,7.5,1.6,9.1,9.4,"MVP-2,AS,NBA1",42.5,11.1,23.1,.480,1.6,4.8,.335,9.5,18.3,.518,.515,7.6,10.3,.738,0.9,6.1,7.0,6.6,1.6,0.8,3.3,2.3,31.4,2006
Joe Johnson,24,ATL,SG,82,82,3340,17.9,.537,.258,.237,3.4,8.8,6.0,29.1,1.6,0.7,14.8,24.6,5.5,0.4,6.0,.086,3.1,-2.1,1.0,2.5,,40.7,7.7,17.0,.453,1.6,4.4,.356,6.1,12.6,.487,.499,3.2,4.0,.791,1.2,2.9,4.1,6.5,1.3,0.4,3.3,2.3,20.2,2006
Antawn Jamison,29,WAS,SF,82,80,3288,17.7,.518,.250,.199,5.7,21.8,13.5,8.7,1.4,0.3,7.8,23.9,4.9,3.2,8.2,.119,2.4,-1.2,1.2,2.7,,40.1,8.0,18.2,.442,1.8,4.5,.394,6.3,13.7,.458,.491,2.6,3.6,.731,2.0,7.3,9.3,1.9,1.1,0.1,1.7,2.3,20.5,2006
Kobe Bryant,27,LAL,SG,80,80,3277,28.0,.559,.238,.377,2.6,12.7,7.6,24.1,2.4,0.7,9.0,38.7,11.6,3.7,15.3,.224,7.4,0.2,7.6,8.0,"MVP-4,AS,NBA1,DEF1",41.0,12.2,27.2,.450,2.3,6.5,.347,10.0,20.7,.482,.491,8.7,10.2,.850,0.9,4.4,5.3,4.5,1.8,0.4,3.1,2.9,35.4,2006
Shawn Marion,27,PHO,PF,81,81,3263,23.6,.591,.212,.218,8.7,23.6,16.3,6.8,2.5,2.9,7.7,22.3,8.6,5.9,14.6,.214,3.5,1.3,4.8,5.6,"MVP-10,DPOY-7,AS,NBA3",40.3,8.8,16.9,.525,1.2,3.6,.331,7.7,13.3,.577,.560,3.0,3.7,.809,3.1,8.8,11.8,1.8,2.0,1.7,1.5,2.8,21.8,2006
Lamar Odom,26,LAL,PF,80,80,3221,17.0,.558,.232,.338,6.6,20.3,13.5,22.4,1.2,1.5,16.7,18.1,5.4,3.8,9.2,.137,2.1,0.6,2.7,3.9,,40.3,5.6,11.6,.481,1.0,2.7,.372,4.6,8.9,.514,.524,2.7,3.9,.690,2.3,7.0,9.2,5.5,0.9,0.8,2.7,3.2,14.8,2006
Ricky Davis,26,2TM,SG,78,78,3207,15.6,.521,.186,.265,2.5,10.5,6.6,22.2,1.5,0.4,12.8,24.3,2.5,2.5,5.0,.075,0.6,-1.0,-0.4,1.3,,41.1,7.5,16.7,.448,0.9,3.1,.302,6.6,13.6,.481,.476,3.5,4.4,.797,0.8,3.7,4.5,5.1,1.2,0.2,2.7,2.4,19.4,2006
Ricky Davis,26,BOS,SG,42,42,1747,16.0,.529,.176,.231,2.9,10.0,6.5,22.8,1.5,0.4,12.8,23.6,1.8,1.1,2.9,.080,1.0,-1.2,-0.2,0.7,,41.1,7.5,16.7,.448,0.9,3.1,.302,6.6,13.6,.481,.476,3.5,4.4,.797,0.8,3.7,4.5,5.1,1.2,0.2,2.7,2.4,19.4,2006
Ricky Davis,26,MIN,SF,36,36,1460,15.2,.511,.197,.304,2.1,11.1,6.7,21.4,1.6,0.4,12.7,25.1,0.7,1.4,2.1,.069,0.2,-0.7,-0.5,0.6,,41.1,7.5,16.7,.448,0.9,3.1,.302,6.6,13.6,.481,.476,3.5,4.4,.797,0.8,3.7,4.5,5.1,1.2,0.2,2.7,2.4,19.4,2006
